ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,"文書処理ソフトの画面最上部にあり、開いているファイル名が表示される場所はどれか。",クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,2,"現在開いているファイルの名前が中央に表示されます。保存前は「文書1」などの仮の名前が表示されます。"
2,"上書き保存や元に戻すなどのボタンを配置できる、画面左上のツールバーは何。",クイックアクセスツールバー,タイトルバー,リボン,ステータスバー,1,"「保存」や「やり直し」など、頻繁に使うコマンドを1クリックで実行できるように集めたボタン群です。"
3,"タブを切り替えることで、関連する命令ボタンが一覧表示される領域を何と呼ぶか。",リボン,タイトルバー,スクロールバー,ステータスバー,1,"「ホーム」や「挿入」などの各タブに含まれるすべての命令ボタンが配置されている大きな帯状の領域です。"
4,"画面の右側や下側にあり、表示範囲を上下左右に移動させるためのバーはどれか。",スクロールバー,ステータスバー,リボン,タイトルバー,1,"マウスでドラッグすることで、画面に収まりきらない文書の隠れている部分を表示させます。"
5,"画面の最下部にあり、ページ数や文字数などが表示される情報行は何。",ステータスバー,リボン,タイトルバー,ズームスライダー,1,"現在のページ番号、総ページ数、現在の文字数など、文書に関するリアルタイムな情報を表示します。"
6,"画面右下にあり、表示倍率をスライドさせて拡大・縮小する機能は何。",ズームスライダー,スクロールバー,リボン,ステータスバー,1,"スライダーを左右に動かすことで、文書の表示サイズを調整できます。"
7,"キーボードで「読み」を入力して漢字などに変換する入力方式を何というか。",ローマ字入力,かな入力,英字入力,1,"アルファベットを組み合わせて日本語を入力する方式です（例：「か」＝「K」「A」）。"
8,"キーボードのキーに刻印された文字をそのまま打ち込む入力方式は何。",かな入力,ローマ字入力,英語入力,1,"キーに印字されている「あ」「い」を直接入力する方式です。"
9,"日本語入力と英数入力を切り替える際に使用する、左上にあるキーは何。",半角/全角キー,Shiftキー,Ctrlキー,Enterキー,1,"日本語の「かな入力」と「直接入力（英数）」を交互に切り替えるための専用キーです。"
10,"文字の形（書体）や大きさを設定する「フォントグループ」があるタブはどれか。",ホームタブ,挿入タブ,レイアウトタブ,表示タブ,1,"書体（フォント）、サイズ、色など、文字そのものの見た目を整える基本機能が集まっています。"
11,"ホームタブにおいて、行間や文字の配置を設定するグループはどれか。",段落グループ,フォントグループ,編集グループ,スタイルグループ,1,"中央揃え、行間の調整、箇条書きなど、行や段落全体の体裁を整える機能が集まっています。"
12,"ホームタブで設定できる、文字の大きさや色などの見た目をまとめて何というか。",書式設定,ページ設定,段落設定,1,"文字の色、サイズ、太字、斜体など、文字に加えるデザインや設定の総称です。"
13,"文書に画像や図形、表などを新しく取り込みたい時に使用するタブは何。",挿入タブ,ホームタブ,レイアウトタブ,表示タブ,1,"文書に「新しい要素（画像・表・ページ番号・ヘッダーなど）」を追加するための機能がまとまっています。"
14,"用紙の向きや余白を設定する「ページ設定」が含まれるタブはどれか。",レイアウトタブ,ホームタブ,挿入タブ,校閲タブ,1,"余白の広さ、用紙の向き、段組みなど、ページ全体の構成を決める機能が集まっています。"
15,"ビジネス文書において、年度や通し番号などで構成される管理用の符号は何。",文書番号,発信者名,件名,受信者名,1,"文書をいつ、誰が発行したかを組織内で管理し、後で検索や確認をしやすくするための識別番号です。"
16,"ビジネス文書において、その文書を作成し発行した責任者の名前を何と呼ぶか。",発信者名,受信者名,件名,文書番号,1,"文書の発信に対する最終的な責任を持つ組織名や代表者名のことです。"
