ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
1,"満足度「1:満足 2:まぁまぁ満足 3:不満」は、質的データ・量的データのどちらか。",A（質的データ）,B（量的データ）,1,"順序には意味があるが、間隔に意味がないため「質的データ」。"
2,"満足度「1:満足 2:まぁまぁ満足 3:不満」の尺度はどれか。",名義尺度,順序尺度,間隔尺度,比例尺度,2,"順序に意味があるため「順序尺度」。"
3,「通学距離（km）」は、質的データ・量的データのどちらか。,A（質的データ）,B（量的データ）,2,"数値であり、間隔と比率に意味がある（2kmは1kmの2倍）ため「量的データ」。"
4,「通学距離（km）」の尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,4,"0kmを基準に比率が計算できるため「比例尺度」。"
5,「テストの点数（点）」は、質的データ・量的データのどちらか。,A（質的データ）,B（量的データ）,2,"数値であり、間隔に意味があるため「量的データ」。"
6,「テストの点数（点）」の尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,3,"一般に「間隔尺度」とされる。（※比例尺度とする見方もある）"
7,「性別（1:男 2:女）」は、質的データ・量的データのどちらか。,A（質的データ）,B（量的データ）,1,"数値は分類のための記号であり、順序や量に意味がないため「質的データ」。"
8,「性別（1:男 2:女）」の尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,1,"単なる分類であり、順序や量に意味がないため「名義尺度」。"
9,データベースにおいて、データの重複や余分な箇所をなくし、不具合を減らす操作を何と呼ぶか。,正規化,初期化,最適化,構造化,1,正規化（Normalization）と呼びます。
10,"「学生」で、かつ「テニス」が好きな人の人数を数えるCOUNTIFS関数はどれか。","=COUNTIFS(B:B,""学生"",C:C,""テニス"")","=COUNTIF(B:B,""学生"",C:C,""テニス"")","=COUNTIFS(B:C,""学生"",""テニス"")","=COUNTIFS(B:B,""学生"")+COUNTIFS(C:C,""テニス"")",1,"=COUNTIFS(範囲1, 条件1, 範囲2, 条件2) の構文を使います。"
11,"「20代の学生」の人数を数える関数はどれか。","=COUNTIFS(B:B,""学生"",E:E,"">=20"",E:E,""<30"")","=COUNTIFS(B:B,""学生"",E:E,""20代"")","=COUNTIF(B:B,""学生"",E:E,"">=20"")","=COUNTIFS(B:B,""学生"")+COUNTIFS(E:E,"">=20"")",1,"「20代」は「20歳以上」かつ「30歳未満」という2つの条件で表現します。"
