ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,"社会や生活に大きな影響を与えているコンピュータや通信に関する技術を何と呼ぶか。","情報インフラ","情報システム","情報技術","POSシステム",,3,"情報技術（IT）の進展が現代社会の基盤となっています。"
2,"キャッシュレス決済普及の背景にある、通信の高速化や処理速度の向上などの影響を何と呼ぶか。","効率化","高速化","多様化","広域化",,2,"通信の高速化により、大容量のデータを瞬時にやり取り可能になりました。"
3,"販売時点の情報管理を行い、売上管理や在庫管理を高度化するシステムはどれか。","情報システム","情報モラル","情報インフラ","POSシステム",,4,"Point of Saleの略で、レジでの業務を効率化する仕組みです。"
4,"様々な産業への活用が進み、社会に変化を起こしている仕組みそのものを何と呼ぶか。","情報システム","情報技術","情報インフラ","情報モラル",,1,"特定の目的を達成するために、情報を処理・伝達する仕組みです。"
5,"現代社会において欠かせない基盤となっているインターネット環境などを何と呼ぶか。","情報技術","情報システム","情報インフラ","情報モラル",,3,"生活を支える不可欠な基盤としての情報環境を指します。"
6,"情報社会で適切な活動を行うための基になる考え方や態度のことを何と呼ぶか。","情報技術","情報モラル","情報セキュリティ","個人情報保護",,2,"適切な活動を行うための道徳心やマナーを含めた指針です。"
7,"組織が定める、情報の取り扱い方法や手順をまとめた規程を何と呼ぶか。","著作権法","不正アクセス禁止法","個人情報保護法","情報セキュリティポリシー",,4,"組織として一貫したセキュリティ対策を行うためのルールです。"
8,"著作物を創作した者の権利を保護し、文化の発展を目的とする法律はどれか。","個人情報保護法","著作権法","商標法","不正アクセス禁止法",,2,"創作物の無断利用を制限し、著作者を保護する法律です。"
9,"IDやパスワードを悪用して他人のコンピュータに侵入する行為を規制する法律はどれか。","不正アクセス禁止法","著作権法","個人情報保護法","情報セキュリティポリシー",,1,"ネットワーク経由の不正なアクセスそのものを禁じる法律です。"
10,"個人の権利を保護しつつ、情報の有用な活用とのバランスを図るための法律はどれか。","情報モラル","著作権法","個人情報保護法","不正アクセス禁止法",,3,"個人データの適正な取り扱いを義務付ける法律です。"
11,"情報セキュリティポリシーのうち、導入手順など具体的な作業方法を定める階層はどれか。","基本方針","対策基準","実施手順",,,3,"実際の業務においてどのように実行するかを規定する層です。"
12,"情報セキュリティポリシーのうち、部署別のガイドラインなど具体的な判断基準を定める階層はどれか。","実施手順","対策基準","基本方針",,,2,"基本方針に基づき、具体的に何を行うべきかを示す層です。"
13,"情報セキュリティポリシーにおいて、ウイルス対策などの具体的な基準を定める階層はどれか。","対策基準","実施手順","基本方針",,,1,"実施手順よりも広い視点で、組織としての対策基準を明文化する層です。"
14,"情報セキュリティポリシーのうち、情報資産を守る姿勢や目的を示す最上位の階層はどれか。","対策基準","実施手順","基本方針",,,3,"組織のトップが表明する、セキュリティに関する根本的な方針です。"
15,"Webページやブログにおいて、情報の有効な送信対象となるのはどのような人々か。","社内関係者","開発担当者","特定の個人","不特定多数",,4,"インターネットを通じて世界中の誰でも閲覧可能な状態になります。"
16,"発信者自身が所有し、内容を完全にコントロールできるメディアを何と呼ぶか。","アーンドメディア","マスメディア","オウンドメディア","ソーシャルメディア",,3,"自社サイトやブログなど、自らがオーナーの媒体です。"
17,"SNSのように、受け手側も情報を発信できる双方向のメディアを何と呼ぶか。","ソーシャルメディア","マスメディア","オウンドメディア","アーンドメディア",,1,"ユーザー同士の対話や情報共有を基盤とするメディアです。"
18,"ユーザーの信頼や評判を獲得することで、情報の拡散を狙うメディアを何と呼ぶか。","ソーシャルメディア","アーンドメディア","オウンドメディア","ペイドメディア",,2,"信頼や評判を「獲得する」という意味の分類です。"
19,"広告であることを隠し、第三者の感想を装って情報発信を行う不適切な行為はどれか。","ダイレクトマーケティング","バイラルマーケティング","マスメディア","ステルスマーケティング",,4,"消費者を欺く手法として法律による規制の対象となります。"
20,"複数の変数を用いて予測を行う重回帰分析において、モデル作成時に注意すべき現象はどれか。","正規化","標準化","初期化","過剰適合",,4,"手元のデータに合わせすぎて、新しいデータへの対応力が失われることです。"
21,"回帰分析において、予測したい結果となる変数の名称はどれか。","説明変数","独立変数","目的変数","定数",,3,"「何を知りたいか」にあたるターゲットの変数です。"
22,"学習データには適合しているが、未知のデータに対して精度の低い結果が出る状態はどれか。","過少適合","過剰適合","正規化","最適化",,2,"モデルが訓練データに特化しすぎて汎用性がなくなった状態です。"
