ID	問題文	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	正解番号	解説
1	表計算ソフトの画面構成において、ファイル名とソフトウェア名が表示される場所の名称を選びなさい。	タイトルバー	クイックアクセスツールバー	リボン	ステータスバー		1	ファイル名とソフト名が表示される最上部のパーツはタイトルバーです。
2	表計算ソフトの画面構成において、'よく使うコマンドのボタンが表示される'部位の名称を選びなさい。	クイックアクセスツールバー	タイトルバー	リボン	数式バー		1	クイックアクセスツールバーには、上書き保存などの頻繁に利用するボタンを配置できます。
3	表計算ソフトの画面構成において、'タブをクリックすると、さまざまなコマンド（命令）が表示される'部位の名称を選びなさい。	リボン	タイトルバー	クイックアクセスツールバー	スクロールバー		1	リボンは機能ごとにタブで分かれており、クリックすることで表示されるコマンドを切り替えます。
4	表計算ソフトの画面構成において、'アクティブセルの内容（入力されている文字や数式）を表示する'部位の名称を選びなさい。	数式バー	タイトルバー	リボン	ステータスバー		1	数式バーには、現在選択しているセルに格納されている生データや数式が表示されます。
5	ワークシートの上部にあり、A・B・C...とアルファベットが割り振られている場所の名称を選びなさい。	列番号	行番号	数式バー	セル		1	垂直方向の'列'を特定するためのアルファベット部分を列番号と呼びます。
6	シートの中にあるマス目一つ一つの名称を選びなさい。	セル	アクティブセル	列番号	行番号		1	表を構成する最小単位のマス目をセルと呼びます。
7	ワークシートの左側にあり、1・2・3...と数字が割り振られている場所の名称を選びなさい。	行番号	列番号	数式バー	ステータスバー		1	水平方向の'行'を特定するための数字部分を行番号と呼びます。
8	画面表示の大きさを拡大・縮小するための操作部分の名称を選びなさい。	ズームスライダー	スクロールバー	リボン	ステータスバー		1	画面右下のズームスライダーを動かすことで表示倍率を調整できます。
9	画面の表示範囲を上下左右に移動させるための操作部分の名称を選びなさい。	スクロールバー	ズームスライダー	タイトルバー	ステータスバー		1	画面外に隠れている情報を表示するためにスライドさせるバーをスクロールバーと呼びます。
14	シートの中のマス目一つ一つのことで、文字や数値、関数や計算式を入力する場所の名称を選びなさい。	セル	行番号	列番号	数式バー		1	セルが情報の入力単位となり、各セルには固有のアドレス（セル参照）があります。
15	セルの中でも、現在枠が太くなっており、文字などを入力できる状態にあるセルの名称を選びなさい。	アクティブセル	選択セル	入力セル	フォーカスセル		1	現在選択されており、操作の対象となっているセルをアクティブセルと呼びます。
16	エクセルで扱うデータのうち、計算に使用することができないデータ型を選びなさい。	文字データ（文字列）	数値データ				1	文字データは数値ではないため、加減乗除などの計算対象にはできません。
17	エクセルで扱うデータのうち、計算に使用することができるデータ型を選びなさい。	数値データ	文字データ（文字列）				1	数値データは計算記号や関数によって計算を行うことができます。
18	表計算ソフトで計算式を入力する際、計算の開始を指示するために必ず先頭に入力する記号を選びなさい。	＝	＋	＊	／		1	計算式や関数を機能させるには、必ず先頭に'＝（イコール）'を入力します。
19	計算において'たし算'を意味する記号を選びなさい。	＋	－	＊	／		1	プラス（＋）記号は、加算を行うための計算記号です。
20	計算において'ひき算'を意味する記号を選びなさい。	－	＋	＊	／		1	マイナス（－）記号は、減算を行うための計算記号です。
21	計算において'かけ算'を意味する記号を選びなさい。	＊	＋	－	／		1	エクセルでは、かけ算（乗算）の記号として'＊（アスタリスク）'を使用します。
22	計算記号'＊'の読み方として正しいものを選びなさい。	アスタリスク	スラッシュ	プラス	マイナス		1	'＊'はアスタリスクと読み、乗算の際に用います。
23	計算において'わり算'を意味する記号を選びなさい。	／	＋	－	＊		1	エクセルでは、わり算（除算）の記号として'／（スラッシュ）'を使用します。
24	計算記号'／'の読み方として正しいものを選びなさい。	スラッシュ	アスタリスク	プラス	マイナス		1	'／'はスラッシュと読み、除算の際に用います。
25	ショートカットキー'Ctrl ＋ C'の機能を選びなさい。	コピーする	切り取る	貼り付ける	操作を元に戻す		1	'C'はCopyの頭文字で、選択した範囲をクリップボードにコピーします。
26	ショートカットキー'Ctrl ＋ X'の機能を選びなさい。	切り取る	コピーする	貼り付ける	操作を元に戻す		1	'X'はハサミのような形状をしており、選択範囲を切り取る機能です。
27	ショートカットキー'Ctrl ＋ V'の機能を選びなさい。	貼り付ける	コピーする	切り取る	操作を元に戻す		1	コピーまたは切り取りをしたデータを、指定した場所に貼り付けます。
28	ショートカットキー'Ctrl ＋ Z'の機能を選びなさい。	操作を元に戻す	コピーする	切り取る	貼り付ける		1	直前に行った操作をキャンセルし、元の状態に戻す機能です。
29	指定したセル範囲内にある数値データの合計を求めるために使用する関数名を選びなさい。	SUM	AVERAGE	MAX	MIN		1	SUM関数は引数として指定した範囲の合計値を計算します。
30	指定したセル範囲内にある数値データの平均を求めるために使用する関数名を選びなさい。	AVERAGE	SUM	COUNT	MAX		1	AVERAGE関数は引数として指定した範囲の平均値を計算します。
31	選択したセル範囲の周囲を太い線で囲む機能の名称を選びなさい。	外枠太罫線	格子	太字	セルの結合		1	セルの周囲を太い罫線で強調する機能は'外枠太罫線'です。
32	セル内のデータを右側に寄せて表示する機能の名称を選びなさい。	右揃え	左揃え	中央揃え	均等割付		1	セル内の文字や数値を右側に整列させる機能は'右揃え'です。
33	数値の小数点以下の表示桁数を1桁ずつ減らす機能の名称を選びなさい。	表示桁数を減らす	表示桁数を増やす	桁区切りスタイル	パーセントスタイル		1	ボタンを押すたびに小数点以下の表示桁数が1つ減り、四捨五入された見た目になります。
34	セル内のデータを左側に寄せて表示する機能の名称を選びなさい。	左揃え	右揃え	中央揃え	均等割付		1	セル内の文字や数値を左側に整列させる機能は'左揃え'です。
35	複数のセルを一つにまとめ、中の文字を中央に配置する機能の名称を選びなさい。	セルを結合して中央揃え	中央揃え	左揃え	均等割付		1	表のタイトルなどを中央に配置する際によく利用される機能です。
36	数値を'1,000'のようにコンマで区切る書式を設定する機能の名称を選びなさい。	桁区切りスタイル	パーセントスタイル	通貨表示	表示桁数を増やす		1	数値を3桁ごとにコンマで区切って見やすくする機能を'桁区切りスタイル'と呼びます。
37	数値の小数点以下の表示桁数を1桁ずつ増やして詳細に表示する機能の名称を選びなさい。	表示桁数を増やす	表示桁数を減らす	桁区切りスタイル	パーセントスタイル		1	ボタンを押すたびに小数点以下の表示桁数が1つ増え、より詳細な数値を表示します。
38	セルの右下にある'フィルハンドル'をドラッグして、隣接するセルに数式や連続データをコピーする機能の名称を選びなさい。	オートフィル	コピー＆ペースト	ドラッグコピー	セルの結合		1	オートフィル機能を使うと、規則性のあるデータや数式を効率的に入力できます。
39	'標準価格（C4）'の13%を'値引額（D4）'として計算するための正しい式を選びなさい。	0	-0.13	0.13	0		1	'=C4*13%'または'=C4*0.13'と入力することで、13%の値を算出できます。
40	'標準価格（C4）'から'値引額（D4）'を引き、さらに'リサイクル料（E4）'を足して'請求金額（F4）'を求める式を選びなさい。	0	0	0	0		1	処理条件に沿って数式を表すと'=C4-D4+E4'となります。
